date,code,name,investor,buy_krw,sell_krw,net_krw
2026-01-20,000660,SK하이닉스,금융투자,164253979000.0,252489800000.0,-88235821000.0
2026-01-20,000660,SK하이닉스,연기금,344357346000.0,375448213000.0,-31090867000.0
2026-01-20,000660,SK하이닉스,외국인,589723520000.0,596623030500.0,-6899510500.0
2026-01-20,005930,삼성전자,개인,1902541478400.0,1412886692800.0,489654785600.0
2026-01-20,005930,삼성전자,금융투자,185917145200.0,351453662950.0,-165536517750.0
2026-01-20,005930,삼성전자,연기금,481784183550.0,531962068150.0,-50177884600.0
2026-01-20,005930,삼성전자,외국인,638850711286.0,1067784459936.0,-428933748650.0
2026-01-20,009150,삼성전기,개인,92133694250.0,64120198750.0,28013495500.0
2026-01-20,009150,삼성전기,금융투자,9988496000.0,15341077750.0,-5352581750.0
2026-01-20,009150,삼성전기,연기금,13126254000.0,30429298500.0,-17303044500.0
2026-01-20,009150,삼성전기,외국인,36907587500.0,29596855500.0,7310732000.0
2026-01-21,000660,SK하이닉스,개인,1008147901500.0,976078015000.0,32069886500.0
2026-01-21,000660,SK하이닉스,금융투자,140064153500.0,166220449000.0,-26156295500.0
2026-01-21,000660,SK하이닉스,연기금,525421634500.0,529829099000.0,-4407464500.0
2026-01-21,000660,SK하이닉스,외국인,2021145232116.0,2058012903116.0,-36867671000.0
2026-01-21,005930,삼성전자,개인,1449200968350.0,2670052418800.0,-1220851450450.0
2026-01-21,005930,삼성전자,금융투자,271518117750.0,195538274650.0,75979843100.0
2026-01-21,005930,삼성전자,연기금,640427637800.0,663742269450.0,-23314631650.0
2026-01-21,005930,삼성전자,외국인,1968090046680.0,987151795880.0,980938250800.0
2026-01-21,009150,삼성전기,개인,58137537250.0,66003210250.0,-7865673000.0
2026-01-21,009150,삼성전기,금융투자,9451635750.0,8704240500.0,747395250.0
2026-01-21,009150,삼성전기,연기금,18527078000.0,20692496750.0,-2165418750.0
2026-01-21,009150,삼성전기,외국인,48167541500.0,46791509000.0,1376032500.0
2026-01-22,000660,SK하이닉스,개인,766440305000.0,1063018669500.0,-296578364500.0
2026-01-22,000660,SK하이닉스,금융투자,281631425000.0,121668004000.0,159963421000.0
2026-01-22,000660,SK하이닉스,연기금,441696142000.0,418164749500.0,23531392500.0
2026-01-22,000660,SK하이닉스,외국인,1060220347344.0,971731174344.0,88489173000.0
2026-01-22,005930,삼성전자,개인,1662679462350.0,2113557742800.0,-450878280450.0
2026-01-22,005930,삼성전자,금융투자,397034146200.0,264481823950.0,132552322250.0
2026-01-22,005930,삼성전자,연기금,606003072000.0,653268433350.0,-47265361350.0
2026-01-22,005930,삼성전자,외국인,1896872838392.0,1687089399192.0,209783439200.0
2026-01-22,009150,삼성전기,개인,50339270000.0,64976100250.0,-14636830250.0
2026-01-22,009150,삼성전기,금융투자,7468235500.0,9783085000.0,-2314849500.0
2026-01-22,009150,삼성전기,연기금,10157411250.0,17516882000.0,-7359470750.0
2026-01-22,009150,삼성전기,외국인,51146475250.0,31336850750.0,19809624500.0
2026-01-23,000660,SK하이닉스,개인,832156549000.0,1124681125000.0,-292524576000.0
2026-01-23,000660,SK하이닉스,금융투자,376154437000.0,157066346000.0,219088091000.0
2026-01-23,000660,SK하이닉스,연기금,329900459500.0,355201828500.0,-25301369000.0
2026-01-23,000660,SK하이닉스,외국인,999335782316.0,921049239816.0,78286542500.0
2026-01-23,005930,삼성전자,개인,1649618063200.0,1283782965900.0,365835097300.0
2026-01-23,005930,삼성전자,금융투자,266486338450.0,346873435500.0,-80387097050.0
2026-01-23,005930,삼성전자,연기금,630190258200.0,732538968500.0,-102348710300.0
2026-01-23,005930,삼성전자,외국인,1103625801859.0,1370579424259.0,-266953622400.0
2026-01-23,009150,삼성전기,개인,184254729500.0,107119796250.0,77134933250.0
2026-01-23,009150,삼성전기,금융투자,18943915500.0,26115267000.0,-7171351500.0
2026-01-23,009150,삼성전기,연기금,27053564750.0,28945355250.0,-1891790500.0
2026-01-23,009150,삼성전기,외국인,90625411250.0,143052937750.0,-52427526500.0
2026-01-26,000660,SK하이닉스,개인,1235280823000.0,615200279000.0,620080544000.0
2026-01-26,000660,SK하이닉스,금융투자,92030940500.0,355878115000.0,-263847174500.0
2026-01-26,000660,SK하이닉스,연기금,215716099500.0,237655725000.0,-21939625500.0
2026-01-26,000660,SK하이닉스,외국인,701050012336.0,1005776213836.0,-304726201500.0
2026-01-26,005930,삼성전자,개인,1292142390650.0,1036755493450.0,255386897200.0
2026-01-26,005930,삼성전자,금융투자,156782976550.0,422638016150.0,-265855039600.0
2026-01-26,005930,삼성전자,연기금,438082397650.0,454102520350.0,-16020122700.0
2026-01-26,005930,삼성전자,외국인,1163482888473.0,1056373834073.0,107109054400.0
2026-01-26,009150,삼성전기,개인,69932457500.0,70201414000.0,-268956500.0
2026-01-26,009150,삼성전기,금융투자,10525798750.0,15205874750.0,-4680076000.0
2026-01-26,009150,삼성전기,연기금,12264864500.0,25199314750.0,-12934450250.0
2026-01-26,009150,삼성전기,외국인,78606043000.0,56864364750.0,21741678250.0
2026-01-27,000660,SK하이닉스,개인,1477889865500.0,2259365101500.0,-781475236000.0
2026-01-27,000660,SK하이닉스,금융투자,380578973500.0,117867915500.0,262711058000.0
2026-01-27,000660,SK하이닉스,연기금,575802811500.0,559371862000.0,16430949500.0
2026-01-27,000660,SK하이닉스,외국인,1773691397000.0,1312046325000.0,461645072000.0
2026-01-27,005930,삼성전자,개인,1530187367400.0,2210024521400.0,-679837154000.0
2026-01-27,005930,삼성전자,금융투자,403276696550.0,211386338700.0,191890357850.0
2026-01-27,005930,삼성전자,연기금,568265722950.0,584904238100.0,-16638515150.0
2026-01-27,005930,삼성전자,외국인,1930522925241.0,1378769745241.0,551753180000.0
2026-01-27,009150,삼성전기,개인,73894135250.0,65828825750.0,8065309500.0
2026-01-27,009150,삼성전기,금융투자,5926946750.0,20260586000.0,-14333639250.0
2026-01-27,009150,삼성전기,연기금,8695010750.0,23923368250.0,-15228357500.0
2026-01-27,009150,삼성전기,외국인,91911776250.0,54817781750.0,37093994500.0
2026-01-28,000660,SK하이닉스,개인,2048417511500.0,1865070831000.0,183346680500.0
2026-01-28,000660,SK하이닉스,금융투자,222124828000.0,283021373000.0,-60896545000.0
2026-01-28,000660,SK하이닉스,연기금,744973048000.0,735016876000.0,9956172000.0
2026-01-28,000660,SK하이닉스,외국인,2451744277181.0,2526442021181.0,-74697744000.0
2026-01-28,005930,삼성전자,개인,1847231555000.0,1422900573950.0,424330981050.0
2026-01-28,005930,삼성전자,금융투자,245621665550.0,341147130250.0,-95525464700.0
2026-01-28,005930,삼성전자,연기금,697754582400.0,694851717450.0,2902864950.0
2026-01-28,005930,삼성전자,외국인,1838657589288.0,2124540623838.0,-285883034550.0
2026-01-28,009150,삼성전기,개인,79739239750.0,78628148250.0,1111091500.0
2026-01-28,009150,삼성전기,금융투자,15485597750.0,14495040750.0,990557000.0
2026-01-28,009150,삼성전기,연기금,16273767750.0,16857413500.0,-583645750.0
2026-01-28,009150,삼성전기,외국인,60801186000.0,40247622000.0,20553564000.0
2026-01-29,000660,SK하이닉스,개인,2753918401500.0,2091265204500.0,662653197000.0
2026-01-29,000660,SK하이닉스,금융투자,384132797000.0,284964746500.0,99168050500.0
2026-01-29,000660,SK하이닉스,연기금,901670366500.0,922645244000.0,-20974877500.0
2026-01-29,000660,SK하이닉스,외국인,1632918841316.0,2367698988316.0,-734780147000.0
2026-01-29,005930,삼성전자,개인,3196422460150.0,1720663134150.0,1475759326000.0
2026-01-29,005930,삼성전자,금융투자,420114666300.0,528071632650.0,-107956966350.0
2026-01-29,005930,삼성전자,연기금,949309199150.0,1001744899400.0,-52435700250.0
2026-01-29,005930,삼성전자,외국인,1141131540640.0,2339941217490.0,-1198809676850.0
2026-01-29,009150,삼성전기,개인,44197825500.0,74715181250.0,-30517355750.0
2026-01-29,009150,삼성전기,금융투자,18558404250.0,14496669500.0,4061734750.0
2026-01-29,009150,삼성전기,연기금,15379040250.0,20799430250.0,-5420390000.0
2026-01-29,009150,삼성전기,외국인,88865886500.0,34959778500.0,53906108000.0
2026-01-30,000660,SK하이닉스,개인,3079990788000.0,2606458256000.0,473532532000.0
2026-01-30,000660,SK하이닉스,금융투자,442711940500.0,435096959000.0,7614981500.0
2026-01-30,000660,SK하이닉스,연기금,852688728000.0,859588707500.0,-6899979500.0
2026-01-30,000660,SK하이닉스,외국인,2583827278842.0,3036642211842.0,-452814933000.0
2026-01-30,005930,삼성전자,개인,2228760482350.0,1912339017850.0,316421464500.0
2026-01-30,005930,삼성전자,금융투자,535676639500.0,320346802300.0,215329837200.0
2026-01-30,005930,삼성전자,연기금,902862146250.0,899397110200.0,3465036050.0
2026-01-30,005930,삼성전자,외국인,2687246792992.0,3275927347542.0,-588680554550.0
2026-01-30,009150,삼성전기,개인,84429834250.0,85046332750.0,-616498500.0
2026-01-30,009150,삼성전기,금융투자,16286812000.0,16016123250.0,270688750.0
2026-01-30,009150,삼성전기,연기금,16197619500.0,18285776250.0,-2088156750.0
2026-01-30,009150,삼성전기,외국인,73493035000.0,48288588000.0,25204447000.0
2026-02-02,000660,SK하이닉스,개인,3520721202000.0,1653463692000.0,1867257510000.0
2026-02-02,000660,SK하이닉스,금융투자,295297941000.0,869555434500.0,-574257493500.0
2026-02-02,000660,SK하이닉스,연기금,1122913485000.0,1060516354500.0,62397130500.0
2026-02-02,000660,SK하이닉스,외국인,1341233606032.0,2796248831532.0,-1455015225500.0
2026-02-02,005930,삼성전자,개인,3087260079750.0,1732564877300.0,1354695202450.0
2026-02-02,005930,삼성전자,금융투자,313688020250.0,883562280500.0,-569874260250.0
2026-02-02,005930,삼성전자,연기금,941397358850.0,958874846200.0,-17477487350.0
2026-02-02,005930,삼성전자,외국인,1441871818750.0,2414407775800.0,-972535957050.0
2026-02-02,009150,삼성전기,개인,250674846750.0,244083953250.0,6590893500.0
2026-02-02,009150,삼성전기,금융투자,24579623500.0,31772765750.0,-7193142250.0
2026-02-02,009150,삼성전기,연기금,31569080250.0,39316788000.0,-7747707750.0
2026-02-02,009150,삼성전기,외국인,96881082500.0,99122372500.0,-2241290000.0
2026-02-03,000660,SK하이닉스,개인,1303922108000.0,1722141257000.0,-418219149000.0
2026-02-03,000660,SK하이닉스,금융투자,660701908500.0,76828891500.0,583873017000.0
2026-02-03,000660,SK하이닉스,연기금,748155468000.0,684967903500.0,63187564500.0
2026-02-03,000660,SK하이닉스,외국인,1704596823267.0,2145421132267.0,-440824309000.0
2026-02-03,005930,삼성전자,개인,1733537213700.0,3075633086900.0,-1342095873200.0
2026-02-03,005930,삼성전자,금융투자,575880443350.0,234486288300.0,341394155050.0
2026-02-03,005930,삼성전자,연기금,814164116150.0,770407036350.0,43757079800.0
2026-02-03,005930,삼성전자,외국인,2377971787257.0,1709478955607.0,668492831650.0
2026-02-03,009150,삼성전기,개인,176454089000.0,259141101000.0,-82687012000.0
2026-02-03,009150,삼성전기,금융투자,23237748000.0,17870821000.0,5366927000.0
2026-02-03,009150,삼성전기,연기금,38769969250.0,26608477750.0,12161491500.0
2026-02-03,009150,삼성전기,외국인,141994503000.0,90953315750.0,51041187250.0
2026-02-04,000660,SK하이닉스,개인,1388419672000.0,803002726000.0,585416946000.0
2026-02-04,000660,SK하이닉스,금융투자,452940802500.0,164365073500.0,288575729000.0
2026-02-04,000660,SK하이닉스,연기금,550607810500.0,542373633000.0,8234177500.0
2026-02-04,000660,SK하이닉스,외국인,904536101231.0,1728129117231.0,-823593016000.0
2026-02-04,005930,삼성전자,개인,1916617546100.0,1781152851700.0,135464694400.0
2026-02-04,005930,삼성전자,금융투자,738756146900.0,157072508700.0,581683638200.0
2026-02-04,005930,삼성전자,연기금,827948681750.0,824338160250.0,3610521500.0
